,id,name,pos,evenTimeOnIce,evenPoints
430,8480011.0,Klim Kostin,C,34:09,1.0
431,8480023.0,Robert Thomas,C,866:13,35.0
432,8474612.0,Travis Hamonic,D,900:20,12.0
433,8470966.0,Mark Giordano,D,1108:44,18.0
434,8473473.0,Milan Lucic,L,802:07,12.0
435,8474150.0,Mikael Backlund,C,1046:27,32.0
436,8474628.0,Michael Stone,D,498:39,7.0
437,8474673.0,TJ Brodie,D,1163:37,18.0
438,8474736.0,Zac Rinaldo,C,156:55,5.0
439,8475762.0,Derek Forbort,D,326:23,1.0
440,8476346.0,Johnny Gaudreau,L,1111:34,40.0
441,8476356.0,Tobias Rieder,C,519:42,8.0
442,8476409.0,Alan Quine,C,88:05,1.0
443,8476873.0,Mark Jankowski,C,500:21,7.0
444,8476979.0,Erik Gustafsson,D,1155:45,20.0
445,8477210.0,Buddy Robinson,R,58:36,1.0
446,8477496.0,Elias Lindholm,C,1035:48,35.0
447,8477497.0,Sean Monahan,C,1064:33,32.0
448,8477935.0,Sam Bennett,C,609:04,11.0
449,8478233.0,Andrew Mangiapane,L,895:36,31.0
450,8478396.0,Noah Hanifin,D,1274:47,17.0
451,8478397.0,Rasmus Andersson,D,1241:26,18.0
452,8478430.0,Oliver Kylington,D,654:36,7.0
453,8478512.0,Austin Czarnik,C,71:45,2.0
454,8478585.0,Derek Ryan,C,819:33,23.0
455,8479314.0,Matthew Tkachuk,L,1067:24,42.0
456,8479346.0,Dillon Dube,C,539:05,14.0
457,8481630.0,Alexander Yelesin,D,49:58,0.0
458,8474569.0,Colin Wilson,C,98:25,4.0
459,8473446.0,Erik Johnson,D,1041:47,16.0
460,8474013.0,Ian Cole,D,993:33,26.0
461,8474685.0,Matt Calvert,L,593:39,21.0
462,8474717.0,Mark Barberio,D,272:09,2.0
463,8475172.0,Nazem Kadri,C,689:18,25.0
464,8475246.0,Kevin Connauton,D,56:46,0.0
465,8475820.0,Joonas Donskoi,R,882:28,28.0
466,8476391.0,T.J. Tynan,C,127:04,1.0
467,8476442.0,Matt Nieto,L,778:28,19.0
468,8476455.0,Gabriel Landeskog,L,874:08,29.0
469,8476480.0,Vladislav Namestnikov,C,765:59,21.0
470,8477435.0,Ryan Graves,D,1109:46,24.0
471,8477444.0,Andre Burakovsky,L,743:11,34.0
472,8477456.0,J.T. Compher,L,833:21,23.0
473,8477492.0,Nathan MacKinnon,C,1174:57,62.0
474,8477501.0,Valeri Nichushkin,R,775:38,25.0
475,8477507.0,Nikita Zadorov,D,1024:17,13.0
476,8477930.0,Pierre-Edouard Bellemare,C,777:16,18.0
477,8478073.0,Anton Lindholm,D,45:37,1.0
478,8478420.0,Mikko Rantanen,R,648:17,27.0
479,8479370.0,Tyson Jost,C,723:29,18.0
480,8479398.0,Samuel Girard,D,1316:44,21.0
481,8479982.0,Conor Timmins,D,19:32,0.0
482,8480069.0,Cale Makar,D,979:27,31.0
483,8480326.0,Sheldon Dries,C,34:19,0.0
484,8481186.0,Logan O'Connor,R,128:51,2.0
485,8471707.0,James Neal,L,736:48,14.0
486,8471729.0,Kris Russell,D,794:42,8.0
487,8474589.0,Tyler Ennis,C,877:32,27.0
488,8475163.0,Alex Chiasson,R,708:38,11.0
489,8475178.0,Zack Kassian,R,898:31,34.0
490,8475772.0,Riley Sheahan,C,687:23,13.0
491,8476326.0,Josh Archibald,R,675:20,18.0
492,8476454.0,Ryan Nugent-Hopkins,C,975:40,37.0
493,8476457.0,Adam Larsson,D,891:45,6.0
494,8476472.0,Oscar Klefbom,D,1196:06,16.0
495,8476915.0,Jujhar Khaira,L,693:46,10.0
496,8476960.0,Andreas Athanasiou,L,758:35,19.0
497,8476988.0,Matt Benning,D,541:11,8.0
498,8477498.0,Darnell Nurse,D,1445:27,28.0
499,8477934.0,Leon Draisaitl,C,1270:20,66.0
500,8478021.0,William Lagesson,D,84:27,0.0
501,8478402.0,Connor McDavid,C,1143:56,54.0
502,8478451.0,Ethan Bear,D,1375:10,19.0
503,8478452.0,Caleb Jones,D,601:41,8.0
504,8479347.0,Tyler Benson,L,69:48,1.0
505,8479466.0,Patrick Russell,R,476:38,5.0
506,8479977.0,Kailer Yamamoto,R,444:05,24.0
507,8481638.0,Joakim Nygard,L,335:57,8.0
508,8481813.0,Gaetan Haas,C,538:07,9.0
509,8470626.0,Loui Eriksson,L,532:42,13.0
510,8471303.0,Alexander Edler,D,1082:24,26.0
